#size best average worst
100 845 851 891
200 2076 2101 2199
300 3460 3485 3645
400 4953 4952 5198
500 6511 6479 6773
600 8119 8127 8507
700 9813 9810 10291
800 11494 11490 12055
900 13283 13223 13824
1000 14966 14983 15601
