#size best average worst
100 1 65 101
1100 1 881 1101
2100 1 897 2101
3100 1 67 3101
4100 1 74 4101
5100 1 639 5101
6100 1 244 6101
7100 1 181 7101
8100 1 765 8101
9100 1 836 9101
