# input size | bubble sort | insertion sort | selection sort
100 4950 2454 4950 
200 19900 9770 19900 
300 44850 22708 44850 
400 79800 40851 79800 
500 124750 62417 124750 
600 179700 90649 179700 
700 244650 129400 244650 
800 319600 166116 319600 
900 404550 208017 404550 
1000 499500 252619 499500 
