#size best average worst
10 55 55 55
20 210 210 210
30 465 465 465
40 820 820 820
50 1275 1275 1275
60 1830 1830 1830
70 2485 2485 2485
80 3240 3240 3240
90 4095 4095 4095
100 5050 5050 5050
