#Size Best Average Worst
2 1 1 1
4 4 4 5
8 12 15 17
16 32 45 49
32 80 125 129
64 192 297 321
128 448 733 769
256 1024 1724 1793
512 2304 3976 4097
1024 5120 8940 9217
