#size best average worst
10 9910 9910 991
20 19620 19620 981
30 29130 29130 971
40 38440 38440 961
50 47550 47550 951
60 56460 56460 941
70 65170 65170 931
80 73680 73680 921
90 81990 81990 911
100 90100 90100 901
200 160200 160200 801
300 210300 210300 701
400 240400 240400 601
500 250500 250500 501
600 240600 240600 401
700 210700 210700 301
800 160800 160800 201
900 90900 90900 101
1000 1000 1000 1
