#size best average worst
2 1 2 2
4 1 2 2
8 1 3 3
16 1 4 4
32 1 5 5
64 1 6 6
128 1 7 7
256 1 8 8
512 1 9 9
1024 1 10 10
2048 1 11 11
4096 1 12 12
8192 1 13 13
