#size best avg worst
10 10 0 8910
20 20 980 18620
30 30 970 28130
40 40 0 37440
50 50 0 46550
60 60 0 55460
70 70 0 64170
80 80 920 72680
90 90 0 80990
100 100 0 89100
200 200 800 159200
300 300 700 209300
400 400 0 239400
500 500 0 249500
600 600 400 239600
700 700 0 209700
800 800 0 159800
900 900 0 89900
1000 0 0 0
