#size best average worst
10 10 1982 9910
20 20 981 19620
30 30 971 29130
40 40 961 38440
50 50 1902 47550
60 60 941 56460
70 70 931 65170
80 80 921 73680
90 90 911 81990
100 100 1802 90100
200 200 801 160200
300 300 2103 210300
400 400 1202 240400
500 500 501 250500
600 600 401 240600
700 700 301 210700
800 800 201 160800
900 900 202 90900
1000 1000 2 1000
