#size best avg worst
2 2 2 3
4 6 8 12
8 18 25 42
16 50 67 150
32 130 199 558
64 322 391 2142
128 770 1039 8382
256 1794 2245 33150
512 4098 4985 131838
1024 9218 12536 525822
