#size best average worst
2 5 5 5
4 14 11 14
8 44 33 44
16 152 75 152
32 552 173 560
64 2013 442 2043
128 7882 1086 8111
256 28089 2720 30559
512 104445 6300 117468
1024 322724 12864 397405
